"School.Type"	"Enrolment"	"Percentage.of.Students.Whose.First.Language.Is.Not.English"	"Percentage.of.Students.Whose.First.Language.Is.Not.French"	"Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country"	"Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country"	"Percentage.of.Students.Receiving.Special.Education.Services"	"Gifted"	"Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading"	"Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing"	"Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics"	"Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading"	"Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing"	"Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics"	"Percentage.of.Children.Who.Live.in.Low.Income.Households"	"Percentage.of.Students.Whose.Parents.Have.Some.University.Education"	"FSL.Core"	"FSL.Extended"	"FSL.Immersion"	"Gender.Ratio.M.to.F"	"Enrol_sum_all"	"Enrol_sum_JKto3"	"Enrol_sum_4to6"
"Public"	"Medium"	"Lowest"	"Lowest"	"High"	"High"	"Medium"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"Low"	"Medium"	"Medium"	"Lowest"	"YES"	"NO"	"YES"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Lowest"	"High"	"High"	"High"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Lowest"	"YES"	"NO"	"YES"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"High"	"High"	"High"	"FALSE"	"Medium"	"Low"	"Low"	"Lowest"	"Lowest"	"Medium"	"Medium"	"Low"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Lowest"	"High"	"High"	"High"	"FALSE"	"Lowest"	"Medium"	"High"	"High"	"Medium"	"Highest"	"Highest"	"Lowest"	"NO"	"NO"	"YES"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"High"	"High"	"High"	"FALSE"	"Lowest"	"Lowest"	"High"	"Lowest"	"Lowest"	"Medium"	"High"	"Low"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"High"	"High"	"Medium"	"FALSE"	"Lowest"	"Lowest"	"Low"	"Medium"	"Lowest"	"Medium"	"Low"	"Low"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"High"	"High"	"Low"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"High"	"High"	"High"	"FALSE"	"High"	"Low"	"Low"	"Medium"	"Low"	"Medium"	"Low"	"High"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"High"	"High"	"High"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Low"	"Low"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"High"	"High"	"High"	"FALSE"	"Medium"	"Lowest"	"High"	"Low"	"Low"	"Medium"	"Highest"	"Low"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"High"	"High"	"Low"	"FALSE"	"Highest"	"Highest"	"High"	"Medium"	"Medium"	"High"	"Lowest"	"Medium"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"High"	"High"	"Lowest"	"FALSE"	"Medium"	"High"	"Medium"	"Medium"	"Medium"	"Highest"	"High"	"Medium"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"High"	"High"	"Highest"	"FALSE"	"Low"	"Medium"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"High"	"High"	"Medium"	"FALSE"	"Highest"	"Medium"	"High"	"Low"	"Low"	"Lowest"	"High"	"High"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"High"	"High"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"High"	"Medium"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"High"	"High"	"Low"	"FALSE"	"Lowest"	"Lowest"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"High"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"High"	"High"	"High"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"High"	"High"	"Lowest"	"FALSE"	"Lowest"	"Medium"	"High"	"Low"	"Lowest"	"Lowest"	"Low"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"High"	"High"	"Low"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Low"	"Low"	"High"	"High"	"Highest"	"FALSE"	"Lowest"	"Low"	"Low"	"Lowest"	"Lowest"	"Lowest"	"High"	"Medium"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"High"	"High"	"High"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"High"	"High"	"High"	"FALSE"	"Low"	"Low"	"Low"	"Low"	"Low"	"Medium"	"High"	"Low"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Highest"	"Low"	"Low"	"Low"	"Low"	"High"	"FALSE"	"High"	"Highest"	"High"	"Medium"	"High"	"Highest"	"Medium"	"High"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"High"	"Lowest"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"Low"	"Lowest"	"Lowest"	"Medium"	"Medium"	"High"	"High"	"Low"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Low"	"Low"	"Medium"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"Low"	"Medium"	"Medium"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Medium"	"Lowest"	"Low"	"Low"	"Lowest"	"Medium"	"FALSE"	"Lowest"	"Low"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Low"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Medium"	"Lowest"	"Low"	"Low"	"Lowest"	"High"	"FALSE"	"Low"	"Low"	"Low"	"High"	"Highest"	"Low"	"Low"	"Low"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Lowest"	"YES"	"NO"	"YES"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"Low"	"Lowest"	"High"	"FALSE"	"Low"	"Lowest"	"Lowest"	"Low"	"Lowest"	"Lowest"	"High"	"Lowest"	"YES"	"NO"	"YES"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"Low"	"Lowest"	"High"	"FALSE"	"Lowest"	"Lowest"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"Lowest"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Highest"	"Lowest"	"Lowest"	"Low"	"Lowest"	"Lowest"	"FALSE"	"High"	"Medium"	"Low"	"High"	"Medium"	"Low"	"Lowest"	"Low"	"NO"	"NO"	"YES"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"Low"	"Lowest"	"Low"	"Lowest"	"Low"	"Lowest"	"High"	"Lowest"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Lowest"	"Low"	"Lowest"	"Medium"	"FALSE"	"High"	"Low"	"Medium"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"High"	"Lowest"	"Low"	"Lowest"	"Lowest"	"Highest"	"FALSE"	"Low"	"Medium"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Low"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"High"	"Lowest"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Low"	"Low"	"YES"	"NO"	"YES"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"Low"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Highest"	"Lowest"	"Lowest"	"Low"	"Lowest"	"Lowest"	"FALSE"	"High"	"High"	"Highest"	"Highest"	"Highest"	"Highest"	"Lowest"	"Highest"	"NO"	"NO"	"YES"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"High"	"Lowest"	"Low"	"Low"	"Lowest"	"Medium"	"FALSE"	"Low"	"Low"	"Lowest"	"High"	"High"	"Medium"	"Lowest"	"Medium"	"YES"	"NO"	"YES"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Low"	"Lowest"	"Low"	"Low"	"YES"	"NO"	"YES"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"Lowest"	"Medium"	"Low"	"Low"	"Low"	"Low"	"Highest"	"Low"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"High"	"High"	"Highest"	"FALSE"	"Medium"	"Lowest"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"Lowest"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"High"	"High"	"High"	"FALSE"	"Low"	"Low"	"Medium"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"Low"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Lowest"	"High"	"High"	"Medium"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"Lowest"	"Lowest"	"Highest"	"Lowest"	"YES"	"YES"	"YES"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"High"	"High"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Low"	"Low"	"Low"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"High"	"Lowest"	"Low"	"High"	"High"	"Lowest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Highest"	"Highest"	"High"	"Lowest"	"YES"	"NO"	"YES"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Highest"	"Lowest"	"Low"	"High"	"High"	"Lowest"	"FALSE"	"Medium"	"Lowest"	"Low"	"Highest"	"Medium"	"Medium"	"Medium"	"Medium"	"NO"	"NO"	"YES"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"High"	"High"	"Highest"	"FALSE"	"Medium"	"Medium"	"Highest"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"High"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"High"	"High"	"Highest"	"FALSE"	"High"	"Highest"	"High"	"High"	"High"	"Medium"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"High"	"High"	"Medium"	"FALSE"	"Medium"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"High"	"High"	"Highest"	"FALSE"	"Highest"	"Highest"	"Medium"	"Medium"	"Highest"	"High"	"Low"	"Medium"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Medium"	"Lowest"	"Low"	"High"	"High"	"Lowest"	"FALSE"	"High"	"Medium"	"Low"	"High"	"Medium"	"High"	"Low"	"High"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"High"	"High"	"High"	"FALSE"	"Lowest"	"Low"	"Lowest"	"Low"	"Low"	"Lowest"	"High"	"Low"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"High"	"High"	"Medium"	"FALSE"	"Low"	"Lowest"	"Lowest"	"Low"	"Lowest"	"Lowest"	"High"	"Lowest"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"High"	"High"	"High"	"FALSE"	"Low"	"Lowest"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"Medium"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"High"	"High"	"Medium"	"FALSE"	"Low"	"Lowest"	"Medium"	"Low"	"Lowest"	"Lowest"	"Medium"	"Low"	"YES"	"NO"	"NO"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"High"	"Lowest"	"Low"	"High"	"High"	"Low"	"FALSE"	"Low"	"Lowest"	"Lowest"	"Low"	"Low"	"Lowest"	"High"	"Medium"	"YES"	"NO"	"YES"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Lowest"	"High"	"High"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Low"	"Lowest"	"High"	"High"	"Lowest"	"YES"	"NO"	"YES"	"High"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"High"	"High"	"Medium"	"FALSE"	"Lowest"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"High"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Medium"	"Lowest"	"Low"	"High"	"High"	"Medium"	"FALSE"	"Low"	"High"	"High"	"Lowest"	"Lowest"	"Low"	"Medium"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Low"	"High"	"High"	"Lowest"	"FALSE"	"Highest"	"Highest"	"Highest"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Medium"	"Lowest"	"Low"	"High"	"High"	"Medium"	"FALSE"	"Lowest"	"Low"	"Low"	"Lowest"	"Lowest"	"Medium"	"Medium"	"Lowest"	"YES"	"NO"	"YES"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Medium"	"Lowest"	"Low"	"High"	"High"	"Low"	"FALSE"	"Lowest"	"Medium"	"Low"	"Lowest"	"Lowest"	"Lowest"	"High"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Medium"	"Lowest"	"Low"	"High"	"High"	"Lowest"	"FALSE"	"Low"	"Lowest"	"Low"	"Low"	"Lowest"	"Lowest"	"Low"	"Low"	"YES"	"NO"	"YES"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"High"	"High"	"Low"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"Low"	"Low"	"YES"	"NO"	"NO"	"Medium"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"High"	"High"	"Highest"	"FALSE"	"Low"	"Low"	"Medium"	"Lowest"	"Lowest"	"Low"	"Medium"	"Medium"	"YES"	"NO"	"NO"	"Lowest"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Lowest"	"High"	"High"	"Low"	"FALSE"	"Medium"	"Medium"	"Medium"	"High"	"High"	"Highest"	"Lowest"	"Lowest"	"YES"	"NO"	"NO"	"Lowest"	"Lowest"	"Lowest"	"Lowest"
"Public"	"High"	"Low"	"Low"	"High"	"High"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"Low"	"YES"	"NO"	"NO"	"Lowest"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Lowest"	"Lowest"	"High"	"High"	"Medium"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Low"	"Lowest"	"Medium"	"High"	"Medium"	"YES"	"NO"	"NO"	"Lowest"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Low"	"Lowest"	"Low"	"Low"	"High"	"FALSE"	"Medium"	"Low"	"Medium"	"High"	"High"	"Low"	"High"	"Low"	"YES"	"NO"	"NO"	"Low"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Medium"	"Lowest"	"Lowest"	"Low"	"Low"	"High"	"FALSE"	"Medium"	"Medium"	"Low"	"Low"	"Low"	"Highest"	"High"	"Lowest"	"YES"	"NO"	"NO"	"Low"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Medium"	"Low"	"Low"	"Low"	"Low"	"Low"	"FALSE"	"High"	"Medium"	"High"	"Highest"	"Medium"	"High"	"High"	"Highest"	"YES"	"NO"	"NO"	"Low"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Low"	"Low"	"Low"	"Low"	"Lowest"	"FALSE"	"High"	"High"	"High"	"Low"	"High"	"Low"	"Low"	"Medium"	"YES"	"NO"	"NO"	"Low"	"Lowest"	"Lowest"	"Lowest"
"Public"	"High"	"Low"	"Low"	"Low"	"Low"	"Lowest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"High"	"High"	"High"	"Medium"	"Low"	"YES"	"NO"	"YES"	"Low"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Highest"	"Lowest"	"Low"	"Low"	"Lowest"	"Low"	"FALSE"	"Low"	"Medium"	"Low"	"Medium"	"Medium"	"Medium"	"Highest"	"High"	"YES"	"NO"	"YES"	"Low"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Low"	"Low"	"Low"	"Low"	"Medium"	"FALSE"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Low"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Low"	"Low"	"Low"	"Low"	"Lowest"	"FALSE"	"Low"	"Low"	"Low"	"Medium"	"Low"	"Lowest"	"Lowest"	"High"	"YES"	"NO"	"NO"	"Low"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Low"	"Low"	"Low"	"Low"	"Low"	"FALSE"	"Low"	"Medium"	"Medium"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"YES"	"NO"	"NO"	"Low"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Low"	"Low"	"Low"	"Low"	"Low"	"FALSE"	"Highest"	"Low"	"Highest"	"High"	"High"	"Low"	"Lowest"	"Medium"	"YES"	"NO"	"NO"	"Low"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Highest"	"Low"	"Low"	"Low"	"Lowest"	"Lowest"	"FALSE"	"High"	"Low"	"Medium"	"High"	"High"	"Highest"	"Low"	"High"	"YES"	"NO"	"NO"	"Low"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Low"	"Low"	"Low"	"Low"	"Highest"	"FALSE"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Low"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Low"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Low"	"Low"	"Low"	"Low"	"Highest"	"FALSE"	"Highest"	"Highest"	"High"	"Medium"	"Highest"	"Low"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Low"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Low"	"Lowest"	"Low"	"Low"	"Low"	"High"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"High"	"Lowest"	"YES"	"NO"	"NO"	"Low"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Low"	"Low"	"Low"	"Low"	"Low"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Low"	"Low"	"Low"	"Medium"	"Medium"	"YES"	"NO"	"NO"	"Low"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Low"	"Low"	"Low"	"Low"	"Lowest"	"FALSE"	"Lowest"	"Low"	"Low"	"Low"	"Medium"	"Lowest"	"Low"	"Medium"	"YES"	"NO"	"NO"	"Low"	"Lowest"	"Lowest"	"Lowest"
"Public"	"Lowest"	"Low"	"Low"	"Low"	"Low"	"Lowest"	"FALSE"	"Lowest"	"Medium"	"Medium"	"High"	"Medium"	"Highest"	"Lowest"	"Medium"	"YES"	"NO"	"NO"	"Low"	"Lowest"	"Lowest"	"Lowest"
