"","School.Type","Enrolment","Percentage.of.Students.Whose.First.Language.Is.Not.English","Percentage.of.Students.Whose.First.Language.Is.Not.French","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country","Percentage.of.Students.Receiving.Special.Education.Services","Gifted","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Children.Who.Live.in.Low.Income.Households","Percentage.of.Students.Whose.Parents.Have.Some.University.Education","FSL.Core","FSL.Extended","FSL.Immersion","Gender.Ratio.M.to.F","Enrol_sum_all","Enrol_sum_JKto3","Enrol_sum_4to6"
"33","Public","Lowest","Lowest","Low","High","High","High","FALSE","Lowest","Lowest","High","Lowest","Lowest","Medium","High","Low","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"35","Public","Lowest","Lowest","Low","High","High","Medium","FALSE","Lowest","Lowest","Low","Medium","Lowest","Medium","Low","Low","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"42","Public","Low","Lowest","Low","High","High","Low","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Medium","Lowest","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"43","Public","Low","Lowest","Low","High","High","High","FALSE","High","Low","Low","Medium","Low","Medium","Low","High","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"44","Public","Lowest","Lowest","Low","High","High","High","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Low","Low","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"45","Public","Lowest","Lowest","Low","High","High","High","FALSE","Medium","Lowest","High","Low","Low","Medium","Highest","Low","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"47","Public","Low","Lowest","Low","High","High","Low","FALSE","Highest","Highest","High","Medium","Medium","High","Lowest","Medium","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"48","Public","Low","Lowest","Low","High","High","Lowest","FALSE","Medium","High","Medium","Medium","Medium","Highest","High","Medium","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"49","Public","Low","Lowest","Low","High","High","Highest","FALSE","Low","Medium","Low","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"50","Public","Lowest","Lowest","Low","High","High","Medium","FALSE","Highest","Medium","High","Low","Low","Lowest","High","High","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"52","Public","Lowest","Lowest","Low","High","High","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","High","Medium","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"54","Public","Low","Lowest","Low","High","High","Low","FALSE","Lowest","Lowest","Low","Lowest","Lowest","Lowest","Lowest","High","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"55","Public","Low","Lowest","Low","High","High","High","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"57","Public","Lowest","Lowest","Low","High","High","Lowest","FALSE","Lowest","Medium","High","Low","Lowest","Lowest","Low","Lowest","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"59","Public","Lowest","Lowest","Low","High","High","Low","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Medium","Lowest","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"60","Public","Lowest","Low","Low","High","High","Highest","FALSE","Lowest","Low","Low","Lowest","Lowest","Lowest","High","Medium","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"63","Public","Lowest","Lowest","Low","High","High","High","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"66","Public","Low","Lowest","Low","High","High","High","FALSE","Low","Low","Low","Low","Low","Medium","High","Low","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"68","Public","Highest","Low","Low","Low","Low","High","FALSE","High","Highest","High","Medium","High","Highest","Medium","High","YES","NO","NO","High","Lowest","Lowest","Lowest"
"71","Public","High","Lowest","Low","Low","Lowest","Highest","FALSE","Low","Lowest","Lowest","Medium","Medium","High","High","Low","YES","NO","NO","High","Lowest","Lowest","Lowest"
"72","Public","Lowest","Lowest","Low","Low","Lowest","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Low","Low","Medium","YES","NO","NO","High","Lowest","Lowest","Lowest"
"73","Public","Lowest","Lowest","Low","Low","Lowest","Highest","FALSE","Low","Medium","Medium","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"76","Public","Medium","Lowest","Low","Low","Lowest","Medium","FALSE","Lowest","Low","Low","Lowest","Lowest","Lowest","Lowest","Low","YES","NO","NO","High","Lowest","Lowest","Lowest"
"77","Public","Medium","Lowest","Low","Low","Lowest","High","FALSE","Low","Low","Low","High","Highest","Low","Low","Low","YES","NO","NO","High","Lowest","Lowest","Lowest"
"79","Public","Low","Lowest","Low","Low","Lowest","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","YES","High","Lowest","Lowest","Lowest"
"80","Public","Lowest","Lowest","Low","Low","Lowest","High","FALSE","Low","Lowest","Lowest","Low","Lowest","Lowest","High","Lowest","YES","NO","YES","High","Lowest","Lowest","Lowest"
"81","Public","Low","Lowest","Low","Low","Lowest","High","FALSE","Lowest","Lowest","Low","Lowest","Lowest","Lowest","Medium","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"83","Public","Highest","Lowest","Lowest","Low","Lowest","Lowest","FALSE","High","Medium","Low","High","Medium","Low","Lowest","Low","NO","NO","YES","High","Lowest","Lowest","Lowest"
"86","Public","Lowest","Lowest","Low","Low","Lowest","Highest","FALSE","Low","Lowest","Low","Lowest","Low","Lowest","High","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"87","Public","Lowest","Lowest","Lowest","Low","Lowest","Medium","FALSE","High","Low","Medium","Lowest","Lowest","Lowest","Lowest","Medium","YES","NO","NO","High","Lowest","Lowest","Lowest"
"89","Public","High","Lowest","Low","Lowest","Lowest","Highest","FALSE","Low","Medium","Low","Lowest","Lowest","Lowest","Highest","Low","YES","NO","NO","High","Lowest","Lowest","Lowest"
"90","Public","High","Lowest","Low","Low","Lowest","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Low","Low","YES","NO","YES","High","Lowest","Lowest","Lowest"
"91","Public","Lowest","Lowest","Low","Low","Lowest","Highest","FALSE","Lowest","Lowest","Low","Lowest","Lowest","Lowest","Medium","Low","YES","NO","NO","High","Lowest","Lowest","Lowest"
"93","Public","Highest","Lowest","Lowest","Low","Lowest","Lowest","FALSE","High","High","Highest","Highest","Highest","Highest","Lowest","Highest","NO","NO","YES","High","Lowest","Lowest","Lowest"
"94","Public","High","Lowest","Low","Low","Lowest","Medium","FALSE","Low","Low","Lowest","High","High","Medium","Lowest","Medium","YES","NO","YES","High","Lowest","Lowest","Lowest"
"97","Public","Low","Lowest","Low","Low","Lowest","Highest","FALSE","Low","Lowest","Lowest","Lowest","Low","Lowest","Low","Low","YES","NO","YES","High","Lowest","Lowest","Lowest"
"99","Public","Low","Lowest","Low","Low","Lowest","Highest","FALSE","Lowest","Medium","Low","Low","Low","Low","Highest","Low","YES","NO","NO","High","Lowest","Lowest","Lowest"
"101","Public","Low","Lowest","Low","High","High","Highest","FALSE","Medium","Lowest","Low","Lowest","Lowest","Lowest","Medium","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"103","Public","Low","Lowest","Low","High","High","High","FALSE","Low","Low","Medium","Lowest","Lowest","Lowest","Medium","Low","YES","NO","NO","High","Lowest","Lowest","Lowest"
"104","Public","Low","Lowest","Lowest","High","High","Medium","FALSE","Lowest","Lowest","Lowest","Medium","Lowest","Lowest","Highest","Lowest","YES","YES","YES","High","Lowest","Lowest","Lowest"
"105","Public","Low","Lowest","Low","High","High","Highest","FALSE","Lowest","Lowest","Lowest","Low","Low","Low","Highest","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"107","Public","High","Lowest","Low","High","High","Lowest","FALSE","Lowest","Lowest","Lowest","Highest","Highest","Highest","High","Lowest","YES","NO","YES","High","Lowest","Lowest","Lowest"
"111","Public","Highest","Lowest","Low","High","High","Lowest","FALSE","Medium","Lowest","Low","Highest","Medium","Medium","Medium","Medium","NO","NO","YES","High","Lowest","Lowest","Lowest"
"112","Public","Lowest","Lowest","Low","High","High","Highest","FALSE","Medium","Medium","Highest","Lowest","Lowest","Lowest","Medium","High","YES","NO","NO","High","Lowest","Lowest","Lowest"
"114","Public","Lowest","Lowest","Low","High","High","Highest","FALSE","High","Highest","High","High","High","Medium","Highest","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"116","Public","Lowest","Lowest","Low","High","High","Medium","FALSE","Medium","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Medium","YES","NO","NO","High","Lowest","Lowest","Lowest"
"117","Public","Lowest","Lowest","Low","High","High","Highest","FALSE","Highest","Highest","Medium","Medium","Highest","High","Low","Medium","YES","NO","NO","High","Lowest","Lowest","Lowest"
"118","Public","Medium","Lowest","Low","High","High","Lowest","FALSE","High","Medium","Low","High","Medium","High","Low","High","YES","NO","NO","High","Lowest","Lowest","Lowest"
"120","Public","Low","Lowest","Low","High","High","High","FALSE","Lowest","Low","Lowest","Low","Low","Lowest","High","Low","YES","NO","NO","High","Lowest","Lowest","Lowest"
"121","Public","Lowest","Lowest","Low","High","High","Medium","FALSE","Low","Lowest","Lowest","Low","Lowest","Lowest","High","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"122","Public","Low","Lowest","Low","High","High","High","FALSE","Low","Lowest","Low","Lowest","Lowest","Lowest","Medium","Medium","YES","NO","NO","High","Lowest","Lowest","Lowest"
"123","Public","Lowest","Lowest","Low","High","High","Medium","FALSE","Low","Lowest","Medium","Low","Lowest","Lowest","Medium","Low","YES","NO","NO","High","Lowest","Lowest","Lowest"
"128","Public","High","Lowest","Low","High","High","Low","FALSE","Low","Lowest","Lowest","Low","Low","Lowest","High","Medium","YES","NO","YES","High","Lowest","Lowest","Lowest"
"130","Public","Lowest","Lowest","Lowest","High","High","Highest","FALSE","Lowest","Lowest","Lowest","Low","Lowest","High","High","Lowest","YES","NO","YES","High","Lowest","Lowest","Lowest"
"132","Public","Lowest","Lowest","Low","High","High","Medium","FALSE","Lowest","Low","Lowest","Lowest","Lowest","Lowest","High","Lowest","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"134","Public","Medium","Lowest","Low","High","High","Medium","FALSE","Low","High","High","Lowest","Lowest","Low","Medium","Lowest","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"137","Public","Lowest","Lowest","Low","High","High","Lowest","FALSE","Highest","Highest","Highest","Low","Lowest","Lowest","Lowest","Medium","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"139","Public","Medium","Lowest","Low","High","High","Medium","FALSE","Lowest","Low","Low","Lowest","Lowest","Medium","Medium","Lowest","YES","NO","YES","Medium","Lowest","Lowest","Lowest"
"140","Public","Medium","Lowest","Low","High","High","Low","FALSE","Lowest","Medium","Low","Lowest","Lowest","Lowest","High","Lowest","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"146","Public","Medium","Lowest","Low","High","High","Lowest","FALSE","Low","Lowest","Low","Low","Lowest","Lowest","Low","Low","YES","NO","YES","Medium","Lowest","Lowest","Lowest"
"148","Public","Low","Lowest","Low","High","High","Low","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Medium","Low","Low","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"151","Public","Low","Lowest","Low","High","High","Highest","FALSE","Low","Low","Medium","Lowest","Lowest","Low","Medium","Medium","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"154","Public","Low","Lowest","Lowest","High","High","Low","FALSE","Medium","Medium","Medium","High","High","Highest","Lowest","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"158","Public","High","Low","Low","High","High","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Medium","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"159","Public","Lowest","Lowest","Lowest","High","High","Medium","FALSE","Lowest","Lowest","Lowest","Low","Lowest","Medium","High","Medium","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"161","Public","Low","Low","Lowest","Low","Low","High","FALSE","Medium","Low","Medium","High","High","Low","High","Low","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"162","Public","Medium","Lowest","Lowest","Low","Low","High","FALSE","Medium","Medium","Low","Low","Low","Highest","High","Lowest","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"163","Public","Medium","Low","Low","Low","Low","Low","FALSE","High","Medium","High","Highest","Medium","High","High","Highest","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"164","Public","Lowest","Low","Low","Low","Low","Lowest","FALSE","High","High","High","Low","High","Low","Low","Medium","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"165","Public","High","Low","Low","Low","Low","Lowest","FALSE","Lowest","Lowest","Lowest","High","High","High","Medium","Low","YES","NO","YES","Low","Lowest","Lowest","Lowest"
"166","Public","Highest","Lowest","Low","Low","Lowest","Low","FALSE","Low","Medium","Low","Medium","Medium","Medium","Highest","High","YES","NO","YES","Low","Lowest","Lowest","Lowest"
"167","Public","Lowest","Low","Low","Low","Low","Medium","FALSE","Low","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"168","Public","Lowest","Low","Low","Low","Low","Lowest","FALSE","Low","Low","Low","Medium","Low","Lowest","Lowest","High","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"169","Public","Lowest","Low","Low","Low","Low","Low","FALSE","Low","Medium","Medium","Low","Lowest","Lowest","Lowest","Medium","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"170","Public","Lowest","Low","Low","Low","Low","Low","FALSE","Highest","Low","Highest","High","High","Low","Lowest","Medium","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"171","Public","Highest","Low","Low","Low","Lowest","Lowest","FALSE","High","Low","Medium","High","High","Highest","Low","High","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"172","Public","Lowest","Low","Low","Low","Low","Highest","FALSE","Highest","Highest","Highest","Highest","Highest","Low","Highest","Lowest","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"174","Public","Lowest","Low","Low","Low","Low","Highest","FALSE","Highest","Highest","High","Medium","Highest","Low","Highest","Lowest","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"175","Public","Low","Lowest","Low","Low","Low","High","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","High","Lowest","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"176","Public","Lowest","Low","Low","Low","Low","Low","FALSE","Lowest","Lowest","Lowest","Low","Low","Low","Medium","Medium","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"178","Public","Lowest","Low","Low","Low","Low","Lowest","FALSE","Lowest","Low","Low","Low","Medium","Lowest","Low","Medium","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"179","Public","Lowest","Low","Low","Low","Low","Lowest","FALSE","Lowest","Medium","Medium","High","Medium","Highest","Lowest","Medium","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"180","Public","Lowest","Medium","Low","Medium","Medium","Low","FALSE","Lowest","Medium","Low","Lowest","Lowest","Lowest","Highest","Medium","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"192","Public","Lowest","High","Lowest","Highest","Highest","Highest","FALSE","Low","Low","Lowest","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"194","Public","Lowest","High","Low","Highest","Highest","Lowest","FALSE","Low","Lowest","High","Highest","Highest","Highest","Medium","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"196","Catholic","Lowest","Medium","Lowest","High","High","Low","FALSE","Lowest","Low","Lowest","Lowest","Lowest","Low","High","Lowest","YES","NO","YES","High","Lowest","Lowest","Lowest"
"198","Catholic","Low","Medium","Low","High","High","Lowest","FALSE","Highest","Low","Medium","Low","Lowest","Lowest","Medium","Low","YES","YES","YES","High","Lowest","Lowest","Lowest"
"201","Catholic","Lowest","Medium","Lowest","High","High","Lowest","FALSE","High","Low","High","Medium","Lowest","Medium","Low","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"204","Catholic","Lowest","Medium","Lowest","High","High","Low","FALSE","Lowest","Lowest","Low","High","High","Low","Medium","Lowest","YES","NO","YES","High","Lowest","Lowest","Lowest"
"207","Catholic","Lowest","High","Lowest","High","High","Highest","FALSE","Lowest","Low","Medium","Medium","Low","Low","Low","Medium","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"208","Catholic","Lowest","High","Low","High","High","Highest","FALSE","Highest","Highest","High","Low","Medium","Low","High","Medium","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"209","Catholic","Medium","High","Low","High","High","Medium","FALSE","Lowest","Lowest","Lowest","Highest","Highest","High","Low","Medium","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"212","Catholic","Low","High","Lowest","High","High","High","FALSE","Highest","Medium","High","Highest","Highest","Highest","Medium","Medium","NO","NO","YES","Lowest","Lowest","Lowest","Lowest"
"215","Catholic","Lowest","High","Low","High","High","High","FALSE","Lowest","Low","Lowest","Highest","Highest","Low","High","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"219","Catholic","Low","Lowest","Low","High","High","Low","FALSE","Highest","Highest","High","Highest","Highest","Medium","High","Low","NO","NO","YES","High","Lowest","Lowest","Lowest"
"220","Catholic","Lowest","Lowest","Low","High","High","Highest","FALSE","Lowest","Low","Lowest","Medium","Low","Lowest","High","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"221","Catholic","High","Lowest","Low","High","High","Medium","FALSE","Lowest","Low","Lowest","Medium","High","Medium","Medium","Medium","YES","NO","NO","High","Lowest","Lowest","Lowest"
"222","Catholic","Medium","Lowest","Low","High","High","High","FALSE","Medium","Lowest","Lowest","Highest","Highest","Highest","Medium","High","YES","NO","NO","High","Lowest","Lowest","Lowest"
"225","Catholic","Medium","Lowest","Low","High","High","High","FALSE","Low","Lowest","Lowest","Low","Low","Highest","Medium","Low","YES","NO","NO","High","Lowest","Lowest","Lowest"
"226","Catholic","Low","Lowest","Low","High","High","Highest","FALSE","Medium","Lowest","Lowest","High","Medium","Medium","High","Low","YES","NO","NO","High","Lowest","Lowest","Lowest"
"229","Catholic","Lowest","Lowest","Low","High","High","Highest","FALSE","Lowest","Lowest","Lowest","Medium","Medium","Lowest","Medium","Lowest","YES","NO","YES","High","Lowest","Lowest","Lowest"
"232","Catholic","Lowest","Lowest","Lowest","High","High","High","FALSE","Lowest","Lowest","Lowest","Highest","Low","Lowest","High","Low","NO","NO","YES","High","Lowest","Lowest","Lowest"
"233","Catholic","Lowest","Lowest","Lowest","High","High","Highest","FALSE","Lowest","Lowest","Lowest","Medium","High","Lowest","Highest","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"234","Catholic","High","Lowest","Low","High","High","Low","FALSE","High","Highest","Medium","Highest","Highest","High","Low","High","NO","NO","YES","High","Lowest","Lowest","Lowest"
"237","Catholic","Lowest","Lowest","Low","Lowest","Lowest","High","FALSE","High","High","High","Lowest","Lowest","Lowest","High","Medium","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"238","Catholic","Low","Lowest","Low","Lowest","Lowest","Highest","FALSE","Low","Low","Lowest","Lowest","Lowest","Low","High","Low","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"240","Catholic","Low","Lowest","Lowest","Lowest","Lowest","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Medium","Lowest","Highest","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"241","Catholic","Lowest","Lowest","Low","Lowest","Lowest","Low","FALSE","High","Medium","Lowest","Medium","Medium","High","Lowest","Low","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"242","Catholic","High","Lowest","Low","Lowest","Lowest","Medium","FALSE","Medium","Low","Lowest","Highest","Highest","High","Lowest","Highest","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"243","Catholic","Medium","Lowest","Lowest","Lowest","Lowest","High","FALSE","Medium","Low","Low","Lowest","Lowest","Lowest","Low","Lowest","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"248","Catholic","Medium","Lowest","Lowest","Lowest","Lowest","Medium","FALSE","Low","Low","Low","High","High","Medium","Low","Low","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"250","Catholic","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","FALSE","High","Low","Medium","High","Lowest","Lowest","Low","Low","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"251","Catholic","Medium","Lowest","Lowest","Lowest","Lowest","Highest","FALSE","Lowest","High","Medium","Low","Medium","Lowest","Low","Low","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"252","Catholic","Highest","Lowest","Lowest","Lowest","Lowest","Low","FALSE","Lowest","Lowest","Lowest","High","Medium","Low","High","Medium","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"253","Catholic","Low","Lowest","Low","Lowest","Lowest","Low","FALSE","High","Medium","High","Medium","Medium","Lowest","Lowest","Medium","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"255","Catholic","Medium","High","Low","High","High","High","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","High","Lowest","YES","NO","YES","Highest","Lowest","Lowest","Lowest"
"257","Catholic","Lowest","High","Low","High","High","Highest","FALSE","Low","Lowest","Lowest","Low","Low","Lowest","High","Medium","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"259","Catholic","High","High","Low","High","High","High","FALSE","Medium","Medium","Medium","Medium","Medium","Medium","Low","Low","YES","NO","YES","Highest","Lowest","Lowest","Lowest"
"260","Catholic","Low","High","Lowest","High","High","Highest","FALSE","Low","Medium","Low","High","High","Lowest","Low","Low","NO","NO","YES","Lowest","Lowest","Lowest","Lowest"
"262","Catholic","Lowest","High","Low","High","High","Highest","FALSE","High","Lowest","Low","Highest","High","Medium","Low","Medium","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"264","Catholic","Lowest","High","Lowest","High","High","Highest","FALSE","Low","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Medium","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"265","Catholic","Low","High","Low","High","High","Highest","FALSE","High","High","Lowest","Low","Low","Lowest","High","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"267","Catholic","Medium","Lowest","Low","High","High","Highest","FALSE","Highest","Highest","Highest","High","High","Medium","Lowest","Highest","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"268","Catholic","Lowest","Lowest","Low","High","High","High","FALSE","High","Highest","Highest","High","High","High","Medium","Low","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"269","Catholic","Low","Lowest","Low","High","High","Medium","FALSE","Medium","Medium","High","Low","Low","Low","Highest","High","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"270","Catholic","Low","Lowest","Low","High","High","High","FALSE","Medium","High","Medium","Low","Low","High","Lowest","Medium","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
