"","BoardID","SchoolID","Board.Type","School.Type","School.Special.Condition.Code","School.Language","Enrolment","Percentage.of.Students.Whose.First.Language.Is.Not.English","Percentage.of.Students.Whose.First.Language.Is.Not.French","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country","Percentage.of.Students.Receiving.Special.Education.Services","Percentage.of.Students.Identified.as.Gifted","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Children.Who.Live.in.Low.Income.Households","Percentage.of.Students.Whose.Parents.Have.Some.University.Education","FSL.Core","FSL.Extended","FSL.Immersion","Junior.Kindergarten.Enrolment","Kindergarten.Enrolment","Grade.1.Enrolment","Grade.2.Enrolment","Grade.3.Enrolment","Grade.4.Enrolment","Grade.5.Enrolment","Grade.6.Enrolment","Grade.7.Enrolment","Grade.8.Enrolment","Board.Language","Elementary.Male.Educators","Elementary.Female.Educators"
"15","B28002","252018","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",45,"SP","82.2","SP","SP","SP",NA,"N/R","N/R","N/R","N/R","N/R","N/R","SP","22.2","YES","NO","NO","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"16","B28002","619738","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",43,"SP","97.7",NA,NA,"30.2",NA,NA,NA,NA,NA,NA,NA,"28.2","SP","YES","NO","NO","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"17","B28002","428797","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",100,"SP","92",NA,NA,"39",NA,NA,NA,NA,NA,NA,NA,"15.2","26.4","YES","NO","YES","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"18","B28002","502030","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",133,"SP","99.2",NA,NA,"50.3",NA,"40%","47%","27%","47%","47%","7%","32.9","15.4","YES","NO","NO","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"19","B28002","270291","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",486,"SP","92.8","SP","SP","4.1",NA,"62%","65%","51%","95%","90%","24%","17.8","28.4","NO","NO","YES","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"20","B28002","468371","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",275,"SP","97.1","SP","SP","23.2",NA,NA,NA,NA,NA,NA,NA,"18.8","26.8","YES","NO","YES","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"22","B28002","519294","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",25,"SP","80",NA,NA,"SP",NA,"N/R","N/R","N/R","N/R","N/R","N/R","SP","SP","YES","NO","NO","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"24","B28002","140210","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",82,"SP","97.6",NA,NA,"35.3",NA,"36%","18%","18%","75%","42%","0%","24.5","12.3","YES","NO","NO","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"27","B28002","282170","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",33,NA,"97",NA,NA,"SP",NA,"N/R","N/R","N/R","N/R","N/R","N/R","42.4","SP","YES","NO","NO","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"28","B28002","384224","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",383,"2.6","93",NA,NA,"14.3",NA,"44%","56%","27%","81%","72%","42%","16.3","24.6","YES","NO","YES","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"29","B28002","347957","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",98,"SP","96.9",NA,NA,"17.3",NA,"46%","38%","8%","64%","36%","0%","26.8","19.7","YES","NO","YES","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"30","B28002","291048","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",46,"SP","100",NA,NA,"SP",NA,"N/R","N/R","N/R","N/R","N/R","N/R","SP","SP","YES","NO","NO","396","411","421","434","420","435","417","413","401","422","English","64.14","257.80"
"31","B28010","230561","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",209,"SP","100",NA,NA,"16.7",NA,"76%","64%","52%","52%","59%","41%","16.2","34","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"32","B28010","186783","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",120,"SP","95.8","SP","SP","SP",NA,"62%","75%","69%","87%","80%","67%","30.5","23.8","NO","NO","YES","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"33","B28010","278270","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",174,"SP","100","SP","SP","16.6",NA,"52%","52%","71%","59%","55%","45%","23.6","26.8","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"34","B28010","137967","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",169,NA,"100",NA,NA,"30.7",NA,NA,NA,NA,NA,NA,NA,"17.5","29.7","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"35","B28010","551660","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",170,NA,"100",NA,NA,"15.8",NA,"44%","44%","50%","83%","66%","45%","14.2","27.8","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"37","B28010","264750","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",49,NA,"100",NA,NA,"24.4",NA,"N/R","N/R","N/R","N/R","N/R","N/R","SP","SP","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"38","B28010","368490","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",NA,NA,"100",NA,NA,NA,NA,"N/D","N/D","N/D","N/R","N/R","N/R","0","0","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"39","B28010","106913","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",65,NA,"100","SP","SP","23",NA,NA,NA,NA,NA,NA,NA,"26.6","34.1","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"42","B28010","161276","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",304,"SP","100","SP","SP","12.8",NA,"60%","52%","44%","70%","60%","18%","15.9","25","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"43","B28010","227331","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",263,NA,"100","SP","SP","18.2",NA,"82%","64%","55%","84%","73%","46%","12.8","46","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"44","B28010","515396","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",116,"SP","100",NA,NA,"19.8",NA,"21%","21%","14%","65%","41%","12%","12.8","33.6","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"45","B28010","285552","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",116,"SP","100",NA,NA,"17.2",NA,"75%","42%","67%","80%","70%","50%","31.2","31.7","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"47","B28010","548413","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",266,NA,"100",NA,NA,"11.2",NA,"93%","93%","75%","86%","82%","64%","9.9","45","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"48","B28010","442054","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",236,"SP","100","SP","SP","10.5",NA,"76%","80%","64%","81%","84%","66%","18.9","37.2","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"49","B28010","237191","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",244,NA,"100","SP","SP","22.5","SP","71%","71%","50%","66%","62%","22%","27.2","23","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"50","B28010","530603","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",103,"SP","100","SP","SP","14.5",NA,"94%","76%","76%","79%","71%","7%","SP","48.9","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"52","B28010","434922","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",151,"SP","100","SP","SP","24.5",NA,"44%","56%","44%","65%","52%","17%","18.9","39.3","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"53","B28010","101214","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",91,"SP","98.9",NA,"SP","14.2",NA,"33%","58%","25%","N/R","N/R","N/R","23.7","SP","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"54","B28010","468339","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",255,"SP","99.6",NA,NA,"11.3",NA,"60%","40%","53%","57%","57%","13%","8.2","50.6","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"55","B28010","410870","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",240,"SP","100","SP","SP","20",NA,"52%","48%","44%","67%","52%","19%","34.7","14.3","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"56","B28010","202614","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",661,"1.7","100","SP","SP","5.7","SP","N/D","N/D","62%","95%","91%","77%","18.4","39.1","NO","NO","YES","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"57","B28010","165042","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",195,NA,"100",NA,NA,"9.7",NA,"61%","71%","68%","77%","45%","18%","12.6","18.3","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"59","B28010","195200","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",176,"SP","100","SP","SP","11.9",NA,"52%","26%","35%","65%","41%","12%","18.2","22.7","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"60","B28010","485497","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",183,"6.6","100","SP","SP","24",NA,"58%","63%","47%","71%","53%","29%","24.7","43.1","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"62","B28010","490822","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",313,"SP","100",NA,NA,"9.9",NA,"N/D","N/D","64%","90%","86%","71%","19","35.3","NO","NO","YES","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"63","B28010","302350","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",162,"SP","100",NA,NA,"20.9",NA,"37%","42%","21%","53%","29%","29%","27.8","19.8","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"65","B28010","144872","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",79,NA,"100",NA,NA,"36.7",NA,NA,NA,NA,NA,NA,NA,"28.1","29.4","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"66","B28010","462616","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",269,"SP","100","SP","SP","18.2",NA,"63%","63%","56%","78%","78%","43%","23.9","31.7","YES","NO","NO","612","621","628","594","646","662","670","661","645","672","English","82.44","382.27"
"68","B28029","328197","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",592,"8.6","99.7","5.2","5.4","20.1","SP","84%","92%","76%","82%","85%","66%","15.6","57.1","YES","NO","NO","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"69","B28029","105627","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",53,NA,"100",NA,NA,"41.5",NA,NA,NA,NA,NA,NA,NA,"SP","34.6","YES","NO","YES","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"71","B28029","107719","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",447,"3.1","99.6","SP","SP","28.6",NA,"64%","53%","42%","81%","81%","56%","23.9","31.4","YES","NO","NO","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"72","B28029","122920","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",219,NA,"100",NA,NA,"28.7",NA,"48%","57%","39%","68%","64%","39%","10.8","37.4","YES","NO","NO","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"73","B28029","464309","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",187,"SP","100","SP","SP","22.4",NA,"71%","75%","58%","58%","42%","11%","49.3","15.3","YES","NO","NO","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"74","B28029","125261","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",50,"SP","98",NA,NA,"28",NA,"N/R","N/R","N/R","N/R","N/R","N/R","SP","SP","YES","NO","NO","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"75","B28029","602558","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",98,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.4","46.9","NO","NO","YES","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"76","B28029","479403","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",309,NA,"100","SP","SP","14.2",NA,"56%","60%","56%","65%","47%","29%","9.6","26.5","YES","NO","NO","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"77","B28029","314676","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",315,"SP","100","SP","SP","18.7",NA,"66%","62%","55%","89%","93%","39%","12.1","34","YES","NO","NO","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"79","B28029","308439","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",238,"SP","100","SP","SP","22.6",NA,"38%","25%","25%","38%","44%","0%","45.1","16.7","YES","NO","YES","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"80","B28029","311944","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",122,NA,"100",NA,NA,"19.6",NA,"67%","33%","17%","77%","46%","8%","21.8","9.1","YES","NO","YES","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"81","B28029","185930","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",280,NA,"100","SP","SP","17.8",NA,"60%","27%","50%","48%","38%","19%","15.8","21.7","YES","NO","NO","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"83","B28029","569992","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",585,"SP","99.1",NA,NA,"8.3",NA,"81%","75%","47%","90%","81%","39%","8.9","28.7","NO","NO","YES","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"84","B28029","116646","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",122,"SP","100",NA,NA,"17.2",NA,NA,NA,NA,NA,NA,NA,"SP","42.7","YES","NO","YES","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"85","B28029","145807","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",87,NA,"100",NA,NA,"18.3",NA,"N/R","N/R","N/R","92%","92%","31%","13.2","12.5","YES","NO","NO","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"86","B28029","496154","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",123,"SP","100",NA,NA,"27.6",NA,"69%","46%","54%","62%","69%","6%","22.8","14.9","YES","NO","NO","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"87","B28029","101478","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",149,"SP","99.3","SP","SP","15.4",NA,"80%","60%","60%","50%","56%","12%","10.1","35.6","YES","NO","NO","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"89","B28029","456632","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",476,"2.7","100","2.7","2.7","30.8",NA,"70%","77%","55%","69%","51%","22%","27.7","29.4","YES","NO","NO","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"90","B28029","410918","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",517,"SP","99.8","SP","SP","25.9",NA,"56%","40%","29%","67%","61%","22%","12.8","30.4","YES","NO","YES","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"91","B28029","237582","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",118,NA,"100",NA,NA,"28.8",NA,"45%","45%","55%","46%","54%","8%","17.1","30.1","YES","NO","NO","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"93","B28029","468070","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",589,"SP","99.3","SP","SP","1.6","SP","84%","85%","77%","100%","97%","93%","10.2","67","NO","NO","YES","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"94","B28029","314935","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",478,"SP","100","SP","SP","15.6",NA,"65%","64%","33%","90%","86%","49%","4.2","42.3","YES","NO","YES","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"96","B28029","136964","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",103,NA,"100",NA,NA,"20.3",NA,"N/R","N/R","N/R","72%","67%","33%","SP","38.5","YES","NO","NO","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"97","B28029","105635","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",249,NA,"100","SP","SP","24",NA,"67%","41%","44%","60%","70%","20%","12.8","33.1","YES","NO","YES","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"99","B28029","131008","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",267,"SP","100","SP","SP","23.5","SP","62%","70%","52%","75%","71%","32%","35.5","28.8","YES","NO","NO","803","820","842","863","885","917","889","865","861","878","English","126.17","549.75"
"101","B28037","190411","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",243,NA,"100",NA,NA,"22.2",NA,"79%","58%","46%","67%","58%","12%","18.3","13.3","YES","NO","NO","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"102","B28037","385263","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",106,NA,"100",NA,NA,"15",NA,"N/R","N/R","N/R","100%","100%","27%","13.2","33.1","YES","NO","NO","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"103","B28037","505820","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",230,NA,"100",NA,NA,"16.9",NA,"68%","64%","57%","47%","68%","11%","16.4","31","YES","NO","NO","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"104","B28037","536326","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",271,"SP","98.9","SP","SP","14",NA,"45%","32%","27%","83%","54%","17%","27.9","24.7","YES","YES","YES","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"105","B28037","542172","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",247,NA,"100","SP","SP","25.9",NA,"46%","50%","23%","74%","74%","33%","29.1","23.6","YES","NO","NO","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"107","B28037","543993","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",435,"3.2","99.5","SP","SP","9.1",NA,"55%","42%","30%","92%","96%","69%","25.3","23.9","YES","NO","YES","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"109","B28037","437329","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",135,NA,"100",NA,NA,"38.5",NA,NA,NA,NA,NA,NA,NA,"23.2","33.5","YES","YES","NO","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"111","B28037","266063","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",584,"SP","99.5","SP","SP","6.6",NA,"78%","49%","49%","92%","80%","41%","16.7","37.5","NO","NO","YES","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"112","B28037","400475","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",164,"SP","100",NA,NA,"24.3",NA,"79%","71%","79%","50%","56%","19%","15.8","47.3","YES","NO","NO","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"113","B28037","328588","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",68,"SP","100",NA,NA,"19.1",NA,"N/R","N/R","N/R","N/R","N/R","N/R","34","SP","YES","NO","NO","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"114","B28037","523712","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",189,"SP","100",NA,NA,"37",NA,"81%","88%","75%","89%","89%","44%","29.3","17","YES","NO","NO","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"115","B28037","605220","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",39,"SP","100",NA,NA,"28.2",NA,"N/R","N/R","N/R","N/R","N/R","N/R","32.3","SP","YES","NO","NO","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"116","B28037","351202","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",177,NA,"100",NA,NA,"14.6",NA,"74%","57%","39%","65%","35%","0%","10","41.8","YES","NO","NO","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"117","B28037","196169","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",175,"SP","100",NA,NA,"22.2",NA,"92%","100%","60%","85%","100%","58%","11.9","35.1","YES","NO","NO","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"118","B28037","577537","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",341,"3.5","99.7","SP","SP","8.7",NA,"84%","77%","56%","91%","79%","64%","11.8","53.7","YES","NO","NO","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"120","B28037","514187","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",261,"SP","100",NA,NA,"21.4",NA,"54%","62%","26%","78%","72%","16%","26","29.5","YES","NO","NO","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"121","B28037","156981","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",135,"SP","100",NA,NA,"16.2",NA,"67%","52%","44%","77%","38%","15%","22","20.6","YES","NO","NO","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"122","B28037","271128","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",244,"SP","100","SP","SP","19.2",NA,"66%","50%","50%","69%","56%","0%","15.5","36.2","YES","NO","NO","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"123","B28037","156728","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",210,"SP","100","SP","SP","15.2",NA,"71%","39%","61%","74%","63%","19%","16.1","33.7","YES","NO","NO","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"125","B28037","214588","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",144,"SP","100","SP","SP","39.5",NA,NA,NA,NA,NA,NA,NA,"22.6","24.8","YES","NO","NO","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"126","B28037","579459","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",234,"SP","100","SP","SP","25.2",NA,"N/D","N/D","N/D","79%","72%","36%","15.3","40.5","YES","NO","YES","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"127","B28037","328278","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",103,NA,"100",NA,NA,"33.9",NA,"N/R","N/R","N/R","71%","64%","7%","19.9","12.5","YES","NO","NO","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"128","B28037","420428","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",437,"SP","99.8","SP","SP","13",NA,"66%","56%","25%","79%","77%","19%","24.2","37.9","YES","NO","YES","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
