Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education,Extract Date
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),900869,Chapleau High School,Public,Not applicable,Secondary,English,9-12,,,20 Teak St,Chapleau,Chapleau,Ontario,P0M1K0,705-864-1452,705-864-2367,http://www.adsb.on.ca/sites/schools/css/default.aspx,http://www.adsb.on.ca, 68 ,47.84273,-83.4083,NA,100,NA,NA,29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/R,NA,N/R,NA,46%,-27,SP,SP,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),101214,Chapleau Public School,Public,Not applicable,Elementary,English,JK-8,,Box 700,24 Pine St,Chapleau,Chapleau,Ontario,P0M1K0,705-864-1170,705-864-1606,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=24,http://www.adsb.on.ca, 91 ,47.84496,-83.40333,SP,98.9,NA,SP,14.2,NA,33%,13,58%,38,25%,15,N/R,NA,N/R,NA,N/R,NA,NA,NA,NA,NA,NA,NA,23.7,SP,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),161276,East View Public School,Public,Not applicable,Elementary,English,JK-8,,,75 Arizona Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A4L9,705-945-7115,705-945-7400,http://www.adsb.on.ca/sites/schools/evs/default.aspx,http://www.adsb.on.ca, 304 ,46.51668,-84.27996,SP,100,SP,SP,12.8,NA,60%,0,52%,-1,44%,-6,70%,8,60%,1,18%,-3,NA,NA,NA,NA,NA,NA,15.9,25,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),165042,Echo Bay Central Public School,Public,Not applicable,Elementary,English,JK-6,,,290 Church St,Macdonald Meredith et al,Echo Bay,Ontario,P0S1C0,705-248-2271,705-248-2045,http://www.adsb.on.ca/sites/schools/ech/default.aspx,http://www.adsb.on.ca, 195 ,46.48567,-84.0637,NA,100,NA,NA,9.7,NA,61%,-6,71%,10,68%,12,77%,-1,45%,-38,18%,-25,NA,NA,NA,NA,NA,NA,12.6,18.3,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),908010,Elliot Lake Secondary School,Public,Not applicable,Secondary,English,9-12,,,303 Mississauga Ave,Elliot Lake,Elliot Lake,Ontario,P5A1E8,705-848-7162,705-848-0103,http://www.adsb.on.ca/sites/schools/els/default.aspx,http://www.adsb.on.ca, 292 ,46.37627,-82.66108,SP,99.3,SP,SP,24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86%,1,52%,-8,82%,-4,19.7,9.9,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),186783,Esten Park Public School,Public,Not applicable,Elementary,English,JK-8,,,115 Hergott Ave,Elliot Lake,Elliot Lake,Ontario,P5A3B4,705-848-2601,705-848-9406,http://www.adsb.on.ca/sites/schools/est/default.aspx,http://www.adsb.on.ca, 120 ,46.37191,-82.61981,SP,95.8,SP,SP,SP,NA,62%,-1,75%,17,69%,32,87%,NA,80%,NA,67%,NA,NA,NA,NA,NA,NA,NA,30.5,23.8,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),202614,Francis H Clergue Public School,Public,Not applicable,Elementary,English,JK-8,,,80 Weldon Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B3C6,705-945-7136,705-945-7144,http://www.adsb.on.ca/sites/schools/fhc/default.aspx,http://www.adsb.on.ca, 661 ,46.51862,-84.30964,1.7,100,SP,SP,5.7,SP,N/D,NA,N/D,NA,62%,-14,95%,NA,91%,NA,77%,NA,NA,NA,NA,NA,NA,NA,18.4,39.1,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),227331,Grand View Public School,Public,Not applicable,Elementary,English,JK-8,,,161 Denwood Dr,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5R4,705-945-7148,705-945-7403,http://www.adsb.on.ca/sites/schools/gvs/default.aspx,http://www.adsb.on.ca, 263 ,46.50955,-84.2659,NA,100,SP,SP,18.2,NA,82%,14,64%,-16,55%,-1,84%,5,73%,-9,46%,10,NA,NA,NA,NA,NA,NA,12.8,46,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),230561,Greenwood Public School,Public,Not applicable,Elementary,English,JK-8,,,8 Fourth Line W,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5K8,705-945-7118,705-945-7402,http://www.adsb.on.ca/sites/schools/gps/default.aspx,http://www.adsb.on.ca, 209 ,46.56732,-84.35278,SP,100,NA,NA,16.7,NA,76%,16,64%,1,52%,-5,52%,-14,59%,-24,41%,-4,NA,NA,NA,NA,NA,NA,16.2,34,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),237191,H M Robbins Public School,Public,Not applicable,Elementary,English,JK-8,,,83 East Balfour St,Sault Ste. Marie,Sault Ste Marie,Ontario,P6C1X4,705-945-7119,705-945-7399,http://www.adsb.on.ca/sites/schools/hmr/default.aspx,http://www.adsb.on.ca, 244 ,46.5328,-84.38951,NA,100,SP,SP,22.5,SP,71%,1,71%,-7,50%,-7,66%,-3,62%,-10,22%,-12,NA,NA,NA,NA,NA,NA,27.2,23,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),917370,Hornepayne High School,Public,Not applicable,Secondary,English,9-12,,,162 Fourth Avenue,Hornepayne,Hornepayne,Ontario,P0M1Z0,807-868-2475,807-868-2126,http://www.adsb.on.ca/sites/schools/hhs/default.aspx,http://www.adsb.on.ca, 51 ,49.21525,-84.77894,SP,94.1,NA,NA,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/R,NA,N/R,NA,45%,1,SP,SP,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),264750,Hornepayne Public School,Public,Not applicable,Elementary,English,JK-8,,,162 Fourth Ave,Hornepayne,Hornepayne,Ontario,P0M1Z0,807-868-2503,807-868-2126,http://www.adsb.on.ca/sites/schools/hor/default.aspx,http://www.adsb.on.ca, 49 ,49.2167,-84.78,NA,100,NA,NA,24.4,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,NA,NA,NA,NA,NA,NA,SP,SP,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),278270,Isabel Fletcher Public School,Public,Not applicable,Elementary,English,JK-6,,,599 Third Line,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A6K4,705-945-7120,705-945-7204,http://www.adsb.on.ca/sites/schools/isf/default.aspx,http://www.adsb.on.ca, 174 ,46.55114,-84.37887,SP,100,SP,SP,16.6,NA,52%,-1,52%,-1,71%,39,59%,2,55%,9,45%,20,NA,NA,NA,NA,NA,NA,23.6,26.8,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),302350,Kiwedin Public School,Public,Not applicable,Elementary,English,JK-6,,,735 North St,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B2C4,705-945-7124,705-945-7208,http://www.adsb.on.ca/sites/schools/kps/default.aspx,http://www.adsb.on.ca, 162 ,46.54201,-84.33511,SP,100,NA,NA,20.9,NA,37%,-30,42%,-20,21%,-27,53%,-14,29%,-21,29%,-4,NA,NA,NA,NA,NA,NA,27.8,19.8,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),920533,Korah Collegiate and Vocational School,Public,Not applicable,Secondary,English,9-12,,,636 Goulais Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6C5A7,705-945-7180,705-945-0750,http://www.adsb.on.ca/sites/schools/kor/default.aspx,http://www.adsb.on.ca, 754 ,46.54269,-84.38155,1.7,99.9,SP,SP,20.6,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70%,-15,33%,0,73%,0,12.8,29.3,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),018309,Korah Intermediate School,Public,Not applicable,Elementary,English,7-8,,,636 Goulais Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6C5A7,705-945-7180,705-945-0750,http://www.adsb.on.ca/sites/schools/kis/default.aspx,http://www.adsb.on.ca, 138 ,46.54246743,-84.38212582,SP,100,SP,SP,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6,32.4,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),926086,Michipicoten High School,Public,Not applicable,Secondary,English,9-12,,,86 Magpie Rd,Michipicoten,Wawa,Ontario,P0S1K0,705-856-4464,705-856-1948,http://www.adsb.on.ca/sites/schools/mic/default.aspx,http://www.adsb.on.ca, 98 ,47.99317,-84.77582,SP,99,NA,NA,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67%,27,50%,NA,65%,4,SP,28.2,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),368490,Missarenda Consolidated Public School,Public,Not applicable,Elementary,English,JK-8,,,1 First Street,Chapleau,Missanabie,Ontario,P0M2H0,705-234-2820,705-234-2567,http://www.adsb.on.ca/sites/schools/msc/default.aspx,http://www.adsb.on.ca, NA ,48.3111084,-84.080165,NA,100,NA,NA,NA,NA,N/D,NA,N/D,NA,N/D,NA,N/R,NA,N/R,NA,N/R,NA,NA,NA,NA,NA,NA,NA,0,0,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),948426,Missarenda Secondary School,Public,Not applicable,Secondary,English,9-12,,,1 First Street,Chapleau,Missanabie,Ontario,P0M2H0,705-234-2820,,http://www.adsb.on.ca/sites/schools/msc/default.aspx,http://www.adsb.on.ca, NA ,48.31165,-84.081983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),195200,Mountain View Public School,Public,Not applicable,Elementary,English,JK-8,,,Mahler Rd 1,Sault Ste. Marie,Goulais River,Ontario,P0S1E0,705-649-2130,705-649-0786,http://www.adsb.on.ca/sites/schools/mvs/default.aspx,http://www.adsb.on.ca, 176 ,46.77124,-84.36156,SP,100,SP,SP,11.9,NA,52%,-3,26%,-15,35%,8,65%,34,41%,10,12%,-19,NA,NA,NA,NA,NA,NA,18.2,22.7,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),891150,North Shore Adolescent Education School,Public,Not applicable,Secondary,English,9-12,,,303 Mississauga Ave,Elliot Lake,Elliot Lake,Ontario,P5A1E8,705-848-1088,705-848-5634,,http://www.adsb.on.ca, 22 ,46.37987,-82.65645,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/D,NA,SP,SP,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),410870,Northern Heights Public School,Public,Not applicable,Elementary,English,JK-8,,,210 Grand Blvd,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B4S8,705-945-7128,705-945-7319,http://www.adsb.on.ca/sites/schools/nhs/default.aspx,http://www.adsb.on.ca, 240 ,46.53072,-84.32895,SP,100,SP,SP,20,NA,52%,18,48%,-21,44%,-12,67%,-4,52%,-13,19%,-16,NA,NA,NA,NA,NA,NA,34.7,14.3,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),434922,Parkland Public School,Public,Not applicable,Elementary,English,JK-8,,,54 Amber St,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5G1,705-945-7129,705-945-7131,http://www.adsb.on.ca/sites/schools/pps/default.aspx,http://www.adsb.on.ca, 151 ,46.51456,-84.25818,SP,100,SP,SP,24.5,NA,44%,-6,56%,-4,44%,-16,65%,11,52%,-2,17%,0,NA,NA,NA,NA,NA,NA,18.9,39.3,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),442054,Pinewood Public School,Public,Not applicable,Elementary,English,JK-8,,,3924 Queen St E,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5K9,705-945-7133,705-945-7225,http://www.adsb.on.ca/sites/schools/pin/default.aspx,http://www.adsb.on.ca, 236 ,46.52417,-84.24768,SP,100,SP,SP,10.5,NA,76%,26,80%,13,64%,14,81%,13,84%,16,66%,34,NA,NA,NA,NA,NA,NA,18.9,37.2,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),462616,Queen Elizabeth Public School,Public,Not applicable,Elementary,English,JK-8,,,139 Elizabeth St,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A3Z5,705-945-7132,705-945-7288,http://www.adsb.on.ca/sites/schools/qes/default.aspx,http://www.adsb.on.ca, 269 ,46.50658,-84.30414,SP,100,SP,SP,18.2,NA,63%,6,63%,-4,56%,-6,78%,2,78%,2,43%,14,NA,NA,NA,NA,NA,NA,23.9,31.7,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),468339,R M Moore Public School,Public,Not applicable,Elementary,English,JK-8,,,1272 Base Line,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A6K4,705-945-7135,705-945-7401,http://www.adsb.on.ca/sites/schools/rmm/default.aspx,http://www.adsb.on.ca, 255 ,46.52177,-84.44407,SP,99.6,NA,NA,11.3,NA,60%,-19,40%,-28,53%,-21,57%,-12,57%,-12,13%,-42,NA,NA,NA,NA,NA,NA,8.2,50.6,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),485497,River View Public School,Public,Not applicable,Elementary,English,JK-8,,,51 Wireless Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B1L4,705-945-7134,705-945-7339,http://www.adsb.on.ca/sites/schools/rvs/default.aspx,http://www.adsb.on.ca, 183 ,46.51751,-84.29898,6.6,100,SP,SP,24,NA,58%,6,63%,-4,47%,14,71%,-8,53%,-18,29%,0,NA,NA,NA,NA,NA,NA,24.7,43.1,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),677523,Rockhaven School forExceptional Children Public School,Public,Not applicable,Elementary,English,JK-8,,,1459 Riverview Rd,Elliot Lake,Serpent River,Ontario,P0P1V0,705-844-2168,705-844-2396,http://www.adsb.on.ca/sites/schools/roc/default.aspx,http://www.adsb.on.ca, 21 ,46.20975,-82.54076,NA,100,NA,NA,100,NA,N/D,NA,N/D,NA,N/D,NA,N/R,NA,N/R,NA,N/R,NA,NA,NA,NA,NA,NA,NA,SP,SP,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),515396,Sir James Dunn Public School,Public,Not applicable,Elementary,English,JK-8,,,36 McKinley Ave,Michipicoten,Wawa,Ontario,P0S1K0,705-856-2517,705-856-2974,http://www.adsb.on.ca/sites/schools/sje/default.aspx,http://www.adsb.on.ca, 116 ,47.99693,-84.77276,SP,100,NA,NA,19.8,NA,21%,-43,21%,-50,14%,-36,65%,-27,41%,-44,12%,-26,NA,NA,NA,NA,NA,NA,12.8,33.6,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),530603,St Joseph Island Central Public School,Public,Not applicable,Elementary,English,JK-6,,,1326 Richards St,St. Joseph,Richards Landing,Ontario,P0R1J0,705-246-2618,705-246-0511,http://www.adsb.on.ca/sites/schools/sjo/default.aspx,http://www.adsb.on.ca, 103 ,46.28922,-84.03465,SP,100,SP,SP,14.5,NA,94%,21,76%,-15,76%,-6,79%,-13,71%,-6,7%,-47,NA,NA,NA,NA,NA,NA,SP,48.9,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),958050,Superior Heights Collegiate and Vocational School,Public,Not applicable,Secondary,English,9-12,,,750 north street,Sault Ste. Marie,Sault Ste. Marie,Ontario,P6B2C5,,,http://www.adsb.on.ca/sites/schools/shs/default.aspx,http://www.adsb.on.ca, 800 ,46.50845,-84.28823,3,99.6,1.8,1.8,20.5,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73%,0,33%,1,69%,1,15,31,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),672610,Superior Heights Community Education,Public,Not applicable,Elementary,English,7-8,,,750 North Avenue,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B2C5,705-945-7142,705-945-7390,http://www.adsb.on.ca/sites/schools/shc/default.aspx,http://www.adsb.on.ca, 22 ,46.53951075,-84.33491723,SP,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP,SP,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),106913,Superior Heights Intermediate School,Public,Not applicable,Elementary,English,7-8,,,750 North Street,Sault Ste. Marie,Sault Ste. Marie,Ontario,P6B2C5,705-945-7499,705-945-7497,http://www.adsb.on.ca/sites/schools/sis/default.aspx,http://www.adsb.on.ca, 65 ,46.53951075,-84.33491723,NA,100,SP,SP,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6,34.1,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),548413,Tarentorus Public School,Public,Not applicable,Elementary,English,JK-8,,,96 Northwood St,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B4M4,705-945-7138,705-945-7414,http://www.adsb.on.ca/sites/schools/tps/default.aspx,http://www.adsb.on.ca, 266 ,46.54554,-84.30847,NA,100,NA,NA,11.2,NA,93%,1,93%,5,75%,-10,86%,30,82%,23,64%,23,NA,NA,NA,NA,NA,NA,9.9,45,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),551660,Thessalon Public School,Public,Not applicable,Elementary,English,JK-6,,,90 Stanley St,Thessalon,Thessalon,Ontario,P0R1L0,705-842-2410,705-842-0129,http://www.adsb.on.ca/sites/schools/the/default.aspx,http://www.adsb.on.ca, 170 ,46.2604,-83.55897,NA,100,NA,NA,15.8,NA,44%,-14,44%,-14,50%,0,83%,3,66%,11,45%,0,NA,NA,NA,NA,NA,NA,14.2,27.8,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),895270,W C Eaket Secondary School,Public,Not applicable,Secondary,English,9-12,,,147 Woodward Ave,Blind River,Blind River,Ontario,P0R1B0,705-356-2221,705-356-2596,http://www.adsb.on.ca/sites/schools/wce/default.aspx,http://www.adsb.on.ca, 134 ,46.18877,-82.94673,SP,100,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/R,NA,25%,14,68%,-2,18.9,12.9,6/17/2019
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),953148,White Pines Collegiate and Vocational School,Public,Not applicable,Secondary,English,9-12,,,1007 Trunk Rd,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5K9,705-945-7181,705-945-0726,http://www.adsb.on.ca/sites/schools/wps/default.aspx,http://www.adsb.on.ca, 481 ,46.52684,-84.25603,SP,100,SP,SP,34.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72%,-3,25%,-10,41%,-18,15.8,25,6/17/2019
